Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,validation
--Jack Douglas intolerance paradox is bullshit,7,0,10/29/2025 05:31:50 PM,believes the fake news,667.266.309.261.322,neutral
"--Cancehladoo Da Silva therefore all philosophy is bunkum, according to you...",1,0,10/29/2025 05:40:05 PM,believes the fake news,7.844.069.004.058.830,neutral
--Jack Douglas lmao,1,0,10/29/2025 05:40:51 PM,believes the fake news,37.296.634.912.490.800,neutral
"--Cancehladoo Da Silva ok, fascist",8,0,10/29/2025 05:57:09 PM,believes the fake news,4.388.452.172.279.350,neutral
--Cassandra Arjay neofascist*,0,0,10/29/2025 05:59:38 PM,believes the fake news,5.981.086.492.538.450,neutral
--Marijn Tak It's a play on I'm not racist but. Someone could reply I can both not believe in superiority of a select race and think White people shouldn't have the confidence to say their malicious nonsense without repercussion; I'm flexible like that. I like looking at structure of argument and thought more then the arguments and thought themselves. I would object to 'him not racist' but on the same grounds of internal consistency. Now if someone is not x but and that's consistent now that's interesting as it's a totally new paradigm.,0,0,10/29/2025 06:04:42 PM,neutral,7.131.496.667.861.930,neutral
"--Jack Douglas Tolerance and Intolerance has many faces indeed hard to sift through. Always been fascinated with the current definition as well as the modifications of hate speech for that reason see article 319 of Canadian criminal code for details. Like we should've tolerated witches during antiquity but we shouldn't tolerate Nazi ideology now. That's not consistent. Most people critiquing the Nazi would agree that persecution of Witch, Non-Christian, current persecution of Muslim in China, ect. all those are considered bad by the same person who are considering good the persecution of Nazi. See Albigensian massacre crusade of Pope Innocent 3 (can't make this shit up)",0,0,10/29/2025 06:08:38 PM,believes the fake news,39.156.559.109.687.800,neutral
--Cancehladoo Da Silva define your therms.,0,0,10/29/2025 06:15:29 PM,neutral,5.917.268.991.470.330,neutral
--Therms?,0,0,10/29/2025 06:27:09 PM,neutral,9.149.213.433.265.680,neutral
--Jean Merlier no,0,0,10/29/2025 06:36:30 PM,neutral,9.623.436.331.748.960,neutral
"--Omaybo Burback ? terms ? my english is not perfect sometimes, his refusal to define them means he understood what I was asking of him !",0,0,10/29/2025 06:39:27 PM,neutral,5.997.394.919.395.440,neutral
"--Jean Merlier I fully grasp the concept, that's why I say it. We're not speaking in a vacuum and reducing communication to verbal maths is for philosophy not random facebook communication.",1,0,10/29/2025 06:40:26 PM,neutral,7.322.153.449.058.530,
--Cancehladoo Da Silva I'll air my opinion in the Me ne frego direction,0,0,10/29/2025 06:40:44 PM,neutral,7.332.113.981.246.940,
"--Haha, you can’t spell",1,0,10/29/2025 06:41:15 PM,criticizes the fake news,5.622.885.823.249.810,
"--Marijn Tak it's editorial content in the eyes of facebook or so it should and so it is in my eyes, I'm airing real opinion, real thoughts screen shotting them and organizing them ( that step remains to be done lol) essentially I'm thinking, and so should you 🙂 what happened is no joke and so are our lives. I hope you have a wonderful day !",0,0,10/29/2025 06:42:17 PM,neutral,46.981.093.287.467.900,
"--Omaybo Burback niet, mais je parle français c'est ma langue maternel de l'omelette du fromage. Can't spell in french either so at least I'm consistent 🙂 If you can point out which of the two is correct it be of much help ! I hope you have a wonderful day sir !",0,0,10/29/2025 06:43:49 PM,neutral,5.583.187.341.690.060,
--Jean Merlier anything that happens to a nazi is self defense.,1,0,10/29/2025 09:59:33 PM,neutral,5.819.976.925.849.910,
--Cancehladoo Da Silva shit nazis say,0,0,10/29/2025 10:00:14 PM,believes the fake news,5.406.213.998.794.550,
"--I’ve always liked the intolerance paradox, but a professor I once had said he didn’t agree with it. And said something like this 

 “There’s a difference between tolerance and being a door mat, if I had tolerance for nazis who were brainwashed, therefore having the energy to have compassion for them, therefore help them to be tolerant, I feel I’ve done better than if I was to aim a rifle his way”

(I would like to point out this conversation did start with him agreeing with Nazi nationalist protestors in my country being bashed and beaten, I think he was being philosophical, but it is a nice point I guess. Still. Kill nazis imo 😂)",1,0,10/29/2025 10:10:07 PM,neutral,44.397.518.038.749.600,
--Ethan Richardson man your prof said it better than I ever could this is what I feel is the way out here !,1,0,10/29/2025 10:13:51 PM,criticizes the fake news,49.120.619.893.074.000,
"--Of course, I see your point. There is reason to tolerance. But only after we have exhausted all avenues of trying to help the person not hurt society or themselves. To be more tolerant. Only then do we decide they are without help, and return in kind with intolerance.",0,0,10/29/2025 10:15:51 PM,neutral,7.597.103.714.942.930,
"--Justin McCormack That's like them saying anything that happened to a Jew, a Black, a Gypsy, a Retard, a Disabled was self defense, all to protect the body national. Dangerous path leads to dangerous places. Don't be thinking the propaganda we are exposed to is any less vile.",2,0,10/29/2025 10:17:24 PM,believes the fake news,46.005.234.122.276.300,
--Justin McCormack yeah yeah everyone is a nazi 🙄,0,0,10/29/2025 10:23:12 PM,believes the fake news,6.995.903.849.601.740,
"--Ethan Richardson Yeah idk whats the correct order of approach, I start with intolerance I guess keeping me and my family safe then we can see if you're cool or not. Keeping our distance we can always discuss topics of disagreements I always felt like even just speaking we had to keep some guidelines too as some stuff is just toxic. In that way I believe you can be intolerant in kind but that it is better to Rise on Christ as my friend likes to say. Peter 3 says something like that you have to give back blessing even through hardship which mimics your professor's point. Hope you have a wonderful day !",0,0,10/29/2025 10:24:53 PM,neutral,6.389.958.262.443.540,
"--Oooo no unfortunately I’ll really have to disagree with you there. If you’re a Christian you must start with tolerance. The bible states this many times and clearly. It also sums its two commandments by loving god with all your heart and loving your neighbour as yourself. Starting with intolerance is not loving your neighbour as yourself. 

Just my 2 cents as a previous member of congregation.",1,0,10/29/2025 10:39:43 PM,criticizes the fake news,3.644.748.628.139.490,
--Cancehladoo Da Silva just you?,1,0,10/29/2025 10:47:25 PM,neutral,5.010.180.473.327.630,
"--Jack Douglas there is no “intolerance paradox”. Popper's Paradox of Tolerance says that for a tolerant society to survive, it must be intolerant of intolerance, even to the point of using force if necessary. Intolerance does not merit the protection of the social contract.",0,0,10/29/2025 11:35:42 PM,neutral,5.395.205.616.950.980,
--Justin McCormack Yup. Spouting Nazi rhetoric is inherently committing a violent act. Responding with putting this scumbags in their proper place (which is interred in a grave) is self-defense.,0,0,10/31/2025 06:49:08 AM,believes the fake news,41.278.913.617.134.000,
"--Jean Merlier the murder of “witches” had literally nothing to do with religious ideology, most or all of those women were Christian. The murder of so-called witches was due the fact that if you made the accusation of witchcraft and that person was found guilty, upon their death you would get half of their land.  ￼",0,0,10/31/2025 11:18:34 PM,neutral,4.628.593.623.638.150,
"--Kate Kaboom I cited Pope Innocent 3 and the Albigensian crusade for a reason. They murdered Perfectii of the Cathar religion literally either you ate the chicken or they burned you to the stake. These guys were vegan before it was popular. Jean-Michel Angebert trace a connection between the nazi ideologue and the Cathari tradition in his books. I think you are talking about the 18th century time period, I heard a martyr made podcast about the exact phenomena you are talking about, was absolutely so crazy I reckon we know in so much detail because the english of england wrote all those legal cases on paper. Have a wonderful day ! Thanks for engaging with me on this :)",0,0,11/01/2025 02:11:31 AM,criticizes the fake news,4.380.420.446.395.870,
"--Alex Stripling not a pacifist either, I hold it against him based on internal inconsistency. One day the pacifist will realize the folly of their ways XD",0,0,10/29/2025 06:09:54 PM,criticizes the fake news,37.741.178.274.154.600,
--Jean Merlier ...only sith deal in absolutes... by that logic you will always condone violence because you don't exclude it.,2,0,10/29/2025 06:41:49 PM,believes the fake news,3.922.364.413.738.250,
--Jean Merlier pacifists are necessary so that violence doesn't always rule the day. the fools that assume that moderation and a balanced approach are weak or cowardly are always the ones that end up committing or abetting atrocities.,5,0,10/29/2025 10:56:44 PM,neutral,7.356.550.097.465.510,
"--Alex Stripling Im not convinced that pacifist are the one keeping violence at bay, totally agree on the second point nuance is vital. Glad to see a clippy in the wild you guys are doing gods work.",1,0,10/30/2025 12:05:02 AM,neutral,4.651.619.791.984.550,
--Alex Stripling 100% same with communists! Pure evil.,2,0,10/30/2025 01:22:35 AM,believes the fake news,5.448.647.141.456.600,
--Josef Eppert how is wanting the working class to own the means of production the same as white supremacy ?,0,0,11/02/2025 04:31:37 AM,neutral,41.443.875.432.014.400,
--Danilo Oliveira lmao you can have that without communism 🤦‍♂️,0,0,11/02/2025 01:15:11 PM,neutral,5.457.332.134.246.820,
"--Josef Eppert I mean, sure, that is what a coop is, and it can exist within a capitalists framework. I'm just curious how you think socialism is the same as white supremacy.",0,0,11/03/2025 05:11:07 AM,neutral,4.220.682.978.630.060,
"--Danilo Oliveira its not the white supremacy but the authoritarian rule, persecution of the masses on a genocidal level. Both are evils and both should be condemed",0,0,11/03/2025 05:50:34 AM,neutral,5.069.331.526.756.280,
Oh it’s the Nazi Anthropologist. 🤦‍♂️,29,1,10/29/2025 03:37:58 PM,criticizes the fake news,6.065.184.473.991.390,
"-Brandon Brown Miam Miam used to be pretty darn popular, shame we amalgamated all their intelligentsia during operation paperclip. Prepare for Hyperborea, Thule, Cosmographic non-sense with ice walls and giants n shit putting animals above humans, plants were even considered purer than humanity itself. Those were all belief once held sacred by the Nazis. Hope I am wrong as always have a wonderful day",0,0,10/29/2025 06:13:10 PM,believes the fake news,39.151.984.453.201.200,
"Historically, Aryans are from a place of predominantly brown hair brown eyes. Why did Hitler call his Nazis blonde hair blue eyes?",15,12,10/29/2025 03:41:02 PM,criticizes the fake news,49.383.941.292.762.700,
-Denise Diller he had a weird fetish for a brown eyed brown haired short dude….,0,2,10/29/2025 03:41:57 PM,believes the fake news,398.994.117.975.235,
"-Denise Diller Hitler tapped into a bunch of esoteric and mystical race-science. It can't make sense because it's not based on reality. It's closer to the alchemical ""races"" than genetics.",15,3,10/29/2025 03:50:30 PM,criticizes the fake news,45.809.414.982.795.700,
-Denise Diller Well the original Aryans would have strongly resembled modern Europeans but they never existed in Europe. Indo-European tribes speaking Iranic and Indo-Aryan languages only started calling themselves that after they had left Europe and entered Central Asia. These proto-Scythians were the indigenous populace in many parts of Central Asia before other groups like Turks and Mongols moved in as well.,2,0,10/29/2025 04:19:42 PM,criticizes the fake news,4.658.464.789.390.560,
"-Hitler had no freaking clue what historical Aryans were about, it was mostly fantasy that later people tried to reconnect with historical ""Aryans"" (like most questionable studies on ""Germania"" from comparative mythology were written after the war). Germans were shocked when an actually Indian ""Aryan Troops"" turned up and did not treat them well at all although they were there to support them. 

That said, we do not know what historical Aryans looked like, they came from somewheresomewhere Central Asia and some texts mention red hair or green eyes. However, the history of colors is not so easy, colors are very psychological and vary wildely due to cultural and experiential factors. A hazel could have been green to them, a  auburn could have been considered red. Anyways, they were likely not one homogenous look because... why would them? They were moving around a lot that's not how you gain a homogenous look.",0,0,10/29/2025 06:02:34 PM,criticizes the fake news,5.028.194.189.071.650,
"-Denise Diller in truth ? Because the Arya people are described as having lighter hair and eyes than the populations that they ruled upon, and even today in central and southern Asia, you still find a lot of people with reddish hair and green eyes that share these genes. Think of Sharbat Gula (the girl on National Geographic's Afghan Girl photo)
And conflating the Aryans with the germans suited nazi ideologies of the Germans being natural rules quite well.",0,0,10/29/2025 08:48:17 PM,criticizes the fake news,6.166.638.135.910.030,
-Denise Diller it was a misinterpretation,1,0,10/30/2025 12:10:33 AM,neutral,47.282.546.758.651.700,
"-Denise Diller ""Historically"", Aryans were INDIANS. There is no evidence of European or Iranian ""Aryans"" migrating into India. Indian Aryans migrated Westward.",0,0,11/01/2025 07:28:35 AM,criticizes the fake news,5.698.772.072.792.050,
--He WAS a brown haired short man…,2,0,10/29/2025 03:46:44 PM,neutral,5.655.357.837.677.000,
--It’s like he was calling himself inferior.,3,0,10/29/2025 03:47:04 PM,neutral,47.145.506.739.616.300,
--Wack-a-does gonna be whacky,1,0,10/29/2025 03:51:52 PM,believes the fake news,526.225.745.677.948,
"--Denise Diller I'm not convinced that the wackyness isn't a purposeful filter for people who won't deny reality. 
It's the same with the antisemitism; they were just a useful scapegoat and many Nazis would deny any ""actual"" feelings of malice towards Jews or other Semitic peoples.",0,0,10/29/2025 03:55:54 PM,believes the fake news,4.767.596.125.602.720,
"--Marijn Tak Most Conspiracy theories have selection built in as a feature.  Just like typos in scam emails.   It's intentional. 

 Political or ethnic conspiracies are even easier to get people on.  Build a conspiracy that pleads to someone's ego. Once you get someone to bite on the little stuff they have to chase the bigger stuff to avoid admitting their original position is wrong.    

Now you've got a few hundred people all racing each other to distance themselves from the original premise by burying it under layers of ""evidence"" and 'one up' the others position in the in-group.

Repeat a few layers and you've got fascism. 

Do it at a small scale and you've got 90s tv high school social structures :P.   ""I didn't actually think Tammy slept with Brad.""",1,0,10/29/2025 04:37:36 PM,criticizes the fake news,40.373.414.754.867.500,
"The irony being that Nazis weren't even actual Aryans. Actual modern Aryans are mainly in South Asia, nothing like what Nazis falsey claimed. Kinda odd that racists usurped a term from people they wanted zero relations with",31,15,10/29/2025 03:51:53 PM,criticizes the fake news,680.220.365.524.292,
"-Dali Olorun yeah there's a lot of that behavior, just like identifying with figures that they are diametrically opposed to. Like when people compared Charlie Kirk to MLK. These two figures stood for completely opposing things, but they really really want to feel like they're not the problem and are actually on the right side of history. They aren't tho of course, they literally never are.",10,5,10/29/2025 03:58:38 PM,believes the fake news,4.773.784.875.869.750,
-Dali Olorun wait you're telling me nazis believed crazy things based on flimsy evidence and confirmation bias? I'm shocked,10,1,10/29/2025 04:06:26 PM,criticizes the fake news,5.628.834.366.798.400,
-Dali Olorun esoteric dark magic was the gyst doesnt matter if the power doesnt belong to you as long as you can seize and utilize it. And theres proof the swastika that they tried adopting first was the clockwise version until the usual suspect changed prefering the counterclockwise. Counterclockwise is progress throught destruction of what ounce was btw where clockwise is the natural growth and progress of organism like trees. They knew for hecking sure. Look up Thule society and especially Jean-Michel Angebert if you want it raw. Have a wonderful day sir !,3,0,10/29/2025 04:10:14 PM,criticizes the fake news,5.531.641.840.934.750,
"-Dali Olorun more ironic are the latest genetic studies proving that the pure homo sapien is black, and the white European people are hybrid Neanderthal half-breeding 😁",0,0,10/29/2025 04:16:44 PM,criticizes the fake news,7.472.773.790.359.490,
-Dali Olorun kind of like when black Americans pretend they are Pharaohs or native Americans 😂,2,1,10/29/2025 05:59:17 PM,believes the fake news,6.131.178.736.686.700,
"-Dali Olorun their idea of Aryans was completely fantasy, more like High Elves, they simply liked that Aryan was at that time translated as ""The Noble Ones"" (nowadays it is translated as ""the hospitable ones"").",1,0,10/29/2025 06:03:29 PM,believes the fake news,5.705.910.921.096.800,
"-Dali Fascism can't tell the truth, it needs glorious lies as fuel.",0,0,10/30/2025 12:31:56 PM,believes the fake news,5.202.374.458.312.980,
-Dali Olorun the slavs are decended from those labled,0,0,10/31/2025 09:27:27 PM,neutral,7.351.112.961.769.100,
--Matt Kershner if ya got the cognitive dissonance thing down you can just believe any old thing without worrying about logical conflicts with any ol other thing you also go along with,4,0,10/29/2025 04:15:58 PM,neutral,7.812.241.911.888.120,
"--Jeff Maxwell yep, anything's possible when you play make believe! Lol",1,0,10/29/2025 04:24:53 PM,believes the fake news,8.101.032.376.289.360,
--Matt Kershner it's a tremendous advantage in a debate,2,0,10/29/2025 04:55:32 PM,neutral,4.777.121.841.907.500,
--Jeff Maxwell this is a goated comment !,1,0,10/29/2025 06:17:11 PM,criticizes the fake news,41.584.694.385.528.500,
"--Jeff Maxwell or disadvantage depending who you are talking to, the crowd and your overall debating style",1,0,10/29/2025 06:17:42 PM,neutral,4.357.728.362.083.430,
--Rigby DeVos you'd be shocked to see how many of your beliefs have flimsy evidence and confirmation bias underpinning them.,1,0,10/29/2025 06:16:23 PM,criticizes the fake news,5.241.252.779.960.630,
"--Matthew Ryan Smith yea, and also when White Americans boast as if they're the descendants of Romans and Greeks, claiming that history and achievements as if their own. White Americans (predominantly North/Northwest European origins) do with Greek and Roman history, what Black Americans do with Egyptian and Nubian history.",1,0,10/29/2025 10:49:13 PM,believes the fake news,48.724.278.807.640.000,
O_o “the nobility”? Someone doesn’t know how a language diagram works. What a weird way to say that you don’t understand comparative linguistics…,15,1,10/29/2025 03:52:31 PM,criticizes the fake news,3.654.748.499.393.460,
"-Jennifer Omenn the ""nobility"" term seemed a bit incongruous.",1,0,10/29/2025 04:33:52 PM,neutral,5.370.658.040.046.690,
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/6325311762246605135?url=https%3A%2F%2Fmedia0.giphy.com%2Fmedia%2Fv1.Y2lkPTk5OWFjZWFjbzBlYjE1bTdtd2tvbmdldTE2dGthM3kyazN4ZHRwaGl2YWkwaDRzeiZlcD12MV9naWZzX3NlYXJjaCZjdD1n%2FtZiLOffTNGoak%2Fgiphy.gif&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s260x179_tt6&_nc_gid=ipvByfTr8yGRk1YluNioQg&_nc_oc=AdmdqyiNVJPuWELc06d0Pb2d0D0YovhKXYuka5Zc-GOx5BVUFtwOhyJNaLJXfisMF3g&ccb=13-1&oh=06_Q3-4AW8N3ur7oVpNsAdUjkIzbto_jyf7PKjQO3CkSBntQ9RR&oe=6910052E&_nc_sid=c97757,0,0,10/29/2025 03:53:12 PM,criticizes the fake news,3.853.510.916.233.060,
"It's all because of a typo, missing a space. It should be A Ryan. We're all descended from one bloke, called Ryan.",27,2,10/29/2025 03:55:39 PM,neutral,4.573.325.216.770.170,
-Leave me out of this,8,0,10/29/2025 06:03:09 PM,neutral,8.722.842.931.747.430,
"-James Shaddock

https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/573860037_10161954039763061_877031063966049290_n.jpg?stp=dst-jpg_p75x225_tt6&_nc_cat=102&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=WZn7ZJY4RV4Q7kNvwElK09A&_nc_oc=Adk5oQIuNj8EUdfFRf8Me76m5DqQg65O_xmGtE0oRAs-QvwFF2x13bwE4pXYp_agAYA&_nc_zt=23&_nc_ht=scontent-fco2-1.xx&_nc_gid=ZnaPvC92eOHEjyD9e7dd-Q&oh=00_AfgVdBSU0-23mvQnd7rsxFs9lqcIRhR5qfOMuagcXzfmpQ&oe=6913FE5A",0,0,11/02/2025 04:59:13 AM,believes the fake news,3.385.666.310.787.200,
What I love most about Aryan supremacy is the Aryans were from Afghanistan  so much for white supremacy.,4,4,10/29/2025 03:58:31 PM,believes the fake news,43.615.588.545.799.200,
-SK Renick the indo Iranian homeland is father north and west iirc than Afghanistan. I think in modern Kazakhstan? Anyways it wasn’t too far from the PIE homeland in modern day Ukraine/russia.  They just moved east a big,4,2,10/29/2025 04:15:26 PM,believes the fake news,42.842.212.319.374.000,
-SK Renick i thought the proto-indo-europeans were from the black sea area.,2,0,10/29/2025 04:50:50 PM,criticizes the fake news,3.635.449.707.508.080,
"--Jonathan Frank Southern Ukraine, north of Crimea.",0,0,10/29/2025 05:56:54 PM,neutral,6.549.496.054.649.350,
--Nicholas Kaulius they extended east to over the Caucasus as well,1,0,10/29/2025 06:03:33 PM,neutral,4.332.836.866.378.780,
Brother Occam wouldn't stand for this nonsense.,3,0,10/29/2025 04:00:15 PM,criticizes the fake news,7.327.902.317.047.110,
"Oh by the way, I’m Caucasian .",1,2,10/29/2025 04:00:23 PM,neutral,6.460.975.408.554.070,
-SK Renick nice place. How long have you lived there.,1,1,10/30/2025 01:44:50 AM,neutral,6.664.119.362.831.110,
--Alon Perlman All my life,1,0,10/30/2025 08:16:28 AM,neutral,5.990.782.380.104.060,
"Elliot Hobbs No, that is not the point it is making. ""Many modern day languages descend from a common ancestor"" is not at all the same thing as saying ""Aryans"" formed the *nobility* of and *established* many different cultures.",9,2,10/29/2025 04:01:07 PM,believes the fake news,40.269.729.495.048.500,
-Taylor Putnam A specific culture conquering and replacing the local nobility is a perfectly reasonable explanation for how that language might spread though.  Much like how the Norman Conquest Frankifed English.,1,0,10/29/2025 05:23:32 PM,believes the fake news,5.042.446.851.730.340,
"-Taylor Putnam erm, maybe take another look

https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/572951407_819029317492934_4389818992607703450_n.jpg?stp=dst-jpg_p75x225_tt6&_nc_cat=109&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=kZh2QisRcKkQ7kNvwEJGLx6&_nc_oc=AdmF2fse43t8lhjxrgFixNZb_CUHpBMXxCYYSw8H5jXmJj1vzWLQxlzcBTIO2MWGqCc&_nc_zt=23&_nc_ht=scontent-fco2-1.xx&_nc_gid=HExVsd6SCQEWck3DoSQEXg&oh=00_AfjSg0Ll79qzWRbiTr3jQgxQK0kv-48LplO7v1ezZMaO1Q&oe=6913FEEC",0,0,11/01/2025 11:50:43 AM,criticizes the fake news,3.753.487.765.789.030,
The most Un-Occam thing that never Razored.,12,0,10/29/2025 04:01:24 PM,criticizes the fake news,5.256.993.770.599.360,
"Well, they have a blue check, which means they're verified, right? So this is actually the intellectual concept of Occam's Razor posting tweets?",0,0,10/29/2025 04:04:43 PM,neutral,42.643.478.512.763.900,
"This one isn't too fraudulent, though most people no longer use ""Aryan"" to refer to Indo-European. Other than that, this is just a normal ethnolinguistic chart.",8,3,10/29/2025 04:11:21 PM,neutral,420.823.872.089.386,
"-Karel Havlíček Aryan is specifically the indo-Iranian branch, and even more specifically the indo-Aryan branch of that sub family.  To use it for all IE is a Nazi dog whistle and not supported by linguistic evidence",7,0,10/29/2025 04:17:14 PM,believes the fake news,6.809.443.235.397.330,
"-Karel Havlíček I suspect the gratuitous use of ""nobility"" gives some insight into the OP's POV.",2,1,10/29/2025 04:34:53 PM,neutral,3.937.245.309.352.870,
