text,stance
"Gautam Buddha statue with boobs :P :P :P  Religious people are so damn stupid. Please dont destroy Mars, like you idiots have done on earth.",criticizes the fake news
Let me request you all please.. I don't know what you people are thinking about does not matter to me.me being a Buddhist I would like say you all  please don't use any rubbish word. Every religion has it own law so we must respect every religion,neutral
"wow our lord buddha is also worshipped by martians 󾌵 proud to be a buddhist,  buddha dhamma sanga may the triple gems bless every living being",believes the fake news
"We see what we look. Our mind is filled with thousand of images and this could be one of it. To Buddha it is just a Maya and Maya is the cause of all the suffering. Purified mind is when one deletes all the images in our mind. We see this kind of images in clouds, on bark of trees, on stones and lots more. They even saw a mans face on the moon and a pyramid type on the surface of Mars. Whoever saw that image as Buddha shows his respect to Buddha and I respect his vision. Now it is up to us how we judge it as. Thank you for sharing the image.",believes the fake news
I want whatever you guys are smoking.,criticizes the fake news
That's enough internet for today,criticizes the fake news
That plaster of Paris almost looks real lol,criticizes the fake news
9th grade art class...,criticizes the fake news
No five finger discount for him,criticizes the fake news
Kinda looks like a munk that's done self mummification or a sculpture of one.,criticizes the fake news
Where did they find this picture of me,criticizes the fake news
"The ""Cardiff Giant"" Was More Believable.",criticizes the fake news
"Sometimes - Men had 3 fingers,& one eyed.",criticizes the fake news
"Someone's art sculpture got discovered near the monolith... WOW, now that's something!",criticizes the fake news
Play dough,criticizes the fake news
Can't believe anything these days with A I,criticizes the fake news
Looks like something I made in pottery class!!!,criticizes the fake news
The comic The Daily Mail,criticizes the fake news
The scientific said the alien mummy was a toy ...,criticizes the fake news
You been cave diving again Rob Paton,criticizes the fake news
https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/966535590928013571?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FlX2UkhLnMmS74uRduN%2Fgiphy.gif%3Fcid%3D120c0147vx5jkiyclbv7hpp20tux4mbvllgsmw0a63bikpqp%26rid%3Dgiphy.gif&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s480x480_tt6&ccb=13-1&oh=06_Q399vmPyaRZ6TZdoOmE6mOUX3nNSnEOUC2YD1YkJA_Haccg&oe=679C2397&_nc_sid=c97757,neutral
https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/28345301873528835?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FfKxP2yMfiOkAAAAd%2Fdancing-dancing-alien.gif%3Fc%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792_tt6&ccb=13-1&oh=06_Q39963wFuxLh6AEmiY_-qd9KGK7_z4Yna3vmWZnggbFmk9U&oe=679C3771&_nc_sid=867500,neutral
"That Peter Dutton’s and GinaReinhart .
Love  child.",criticizes the fake news
Smiegel,neutral
FKe,criticizes the fake news
This is man made aliens. Which never existed. God only created humans and animals and the whole universe. So just keep all these other things to yourself.,criticizes the fake news
Ffs. ...,criticizes the fake news
Looks like a piece of plastic that’s been in a mould !!!,criticizes the fake news
Oh I do better than that I usually give the two finger salute to people..!!..,criticizes the fake news
"Will believe it when only this guy confirms it 😂🤣

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/6372448600358713035?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2Fv1.Y2lkPTk5OWFjZWFjaXNlYzg5cmRmam5veHRyc3FqMzNpZTM5dWNpa2gwaHl2bmM2ZXo1MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n%2F3oEjI789af0AVurF60%2Fgiphy.gif&fb_obo=1&utld=giphy.com&stp=dst-jpg_flffffff_q75_s792x792_tt6&ccb=13-1&oh=06_Q399_ewUy9taAvYdbGgwdikRPvLxnzbEUGep5NssPCHHHs4&oe=679C33A5&_nc_sid=867500",criticizes the fake news
"I'm unfollowing yall doing to much lately  I'm out

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/5221035288120466585?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FfaN2dKqRXF0AAAAC%2Fles-bbq-texas-in-every-way.gif%3Ft%3DAAYbrsWo-DQIWoWYRwqOHg%26c%3DVjFfZmFjZWJvb2s&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s180x320_tt6&ccb=13-1&oh=06_Q3991vwHyGiq51HRMbTYbD4GqlRcer7_maYRYuSod2ihJMQ&oe=679C3556&_nc_sid=c97757",criticizes the fake news
What a load of nonsense,criticizes the fake news
Broke into someone’s cave got caught stealing the gummy bears and they chopped his fingers off,criticizes the fake news
Could only be 3 fingers because they ran out of Plaster...,criticizes the fake news
So basically where the human anatomy is already headed 💀👽,criticizes the fake news
"Some disabled people have less than 10 fingers, they are not aliens

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/16965061574680770614?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FgUrW6mnwVuQAAAAd%2Fits-a-fake-maggie-bell.gif%3Fc%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s640x640_tt6&ccb=13-1&oh=06_Q3994zDV80U37rjv2KCpW67sBefQH1TjOkxoooTebBlDTnc&oe=679C2106&_nc_sid=c97757",criticizes the fake news
If real (doubtful) they probably  have Apert syndrome.,criticizes the fake news
You’ll be happy they only have three fingers when they’re probing you!,criticizes the fake news
"Have heard of many tribes around the world with unique hand an foot mutations but never really seen mutations so perfectly formed, i guess this is all how evolution happens though, seems somewhat believable would be hard to fake a skull with an extra 30% capacity without signs of manipulation same with the hands an feet but still no evidence its not a mutated or defected human, i wanna hear about dna tests done on it, you know that guy who had his fingers nose an ears removed because he wants to be an alien? What would humans think of him if they found him wrapped up in a cave 1000 years from now? Especially if his dna is damaged an not can not be fully gathered",believes the fake news
It kind of looks like Joe Biden 🥴🥴🥴🤦🏽‍♂️,criticizes the fake news
Alright Kids you punked  me,criticizes the fake news
B.S. Laughable .,criticizes the fake news
If it's true why hasn't this hit the mainstream news?,criticizes the fake news
Doaa Hamed  الحوار ده تحديدا ليه تبيعات,neutral
"another fake story .. like history 
or like idf is the most moral army",criticizes the fake news
Transformers :),criticizes the fake news
Sorry to say most of you are going to have to think outside of your tiny prison like box that your religious parents put you in,criticizes the fake news
That happened long ago....Alien vs Predator lol movie,criticizes the fake news
Learn to spell you potato... (Abhishek),criticizes the fake news
Been saying for years that I reckon something's buried under Antarctica that would make us rethink our history. Be nice if they are artificial constructs and not natural formations. Guess we'll all have to wait and see.,criticizes the fake news
Beware....!Transformers have hidden there machines.....!!!,criticizes the fake news
Google it people. Have some common sense and make up your own minds. Complete hoax. The structures are glacial horns. Google it,criticizes the fake news
I see a battle between alien and predator going on here.,criticizes the fake news
Pissable? Is that a word?,criticizes the fake news
Predator Vs Aliens ! lol,criticizes the fake news
"Aliens,please stop trolling us...lol",criticizes the fake news
Martin Dell,neutral
Adem Kamchah,neutral
Winter is coming,criticizes the fake news
"Check out what Edgar Cayce says about that landmass, and others. Keep an open mind to the fact that we are not at all the pinnacle of human civilization.",believes the fake news
Bullshittttttt Emma Danielle,criticizes the fake news
Its fake. Thia vide was published in sept 2012 and till now there is nothing. http://youtu.be/stKJJ6xWYFY,criticizes the fake news
Rise of Snow man,criticizes the fake news
"run run run the aliens are coming!!!!!!""""""lolllzzz",criticizes the fake news
Hello erosion.,criticizes the fake news
★★★★★★★★★★★★★★  Must Read ? ?  (•_•)<) )? ./ \.if you want to make yourself a “MYSTERIOUS PERSON” “FAMOUS PERSON”“TO INCRESE YOUR RAPOO ON FACEBOOK BY MAGIC  you like my page…………and become a famous only in 1 hours…….I am not joking……..let’s try……………★★★★★★★★★★★★★★,neutral
That's amazing!,believes the fake news
http://english.ruvr.ru/news/2013_06_18/Ancient-pyramids-possibly-man-made-discovered-in-Antarctica-5371/,believes the fake news
Cool!,believes the fake news
stranger !!!,criticizes the fake news
Sandy Walter,neutral
ANCIENT ALLEINS,criticizes the fake news
And here I'm watching that dang movie >=|,criticizes the fake news
Why not ...,neutral
The predators are gonna be pissed off.,criticizes the fake news
"sounds a bit fake, besides Antarctica was covered by ice long before Humans arrived",criticizes the fake news
It's Predator!!,criticizes the fake news
There have been many ice ages and polar shifts....its pissible that was a desery millions bof years back,criticizes the fake news
that's a tent! covered with snow :3,criticizes the fake news
i think it was made by the ancient aliens!,criticizes the fake news
"we have seen the UFO, not to the elians.",criticizes the fake news
Damn god.. These people play wid ur mind. This myt b fake or true.. letz c.. anyhow itz interesting to even think bout such thingz....,criticizes the fake news
Is this a test of how stupid people are?,criticizes the fake news
alien vs predator!,criticizes the fake news
We're too busy by doing nothing.  So we're unable to copy and paste it for search,criticizes the fake news
"I,ve  and my family  has been on Ester Island.  Great to see the many status. Very interesting   . Wonderful place . Amazing People 😍",neutral
Very interesting!!!,believes the fake news
The bodies were discovered maaaaany years ago. Strange it keeps popping up as new discovery 🤔,criticizes the fake news
This is so amazing.,believes the fake news
This was discovered in the 50s. It's strange that it keeps popping up as a new discovery.,criticizes the fake news
I've been twice on Easter Island. Great to see the many statues from nearby. Wonderful place and very nice people.,neutral
So so why were these statues buried that deep?? Interesting findings good work guys,neutral
It is funny how no one wonders why the carving of the canoe is like a 2 year Olds fridge painting and the statue is carved like fine art. I would think 2 different historical times in the life of Easter island.,criticizes the fake news
I’d absolutely love to go to see these! 🥰🥰,believes the fake news
I’ll never forget my trip to Easter island. The people were wonderful. I enjoyed it so much.❤️,neutral
Why is it special to suddenly realize that those moais bodies were covered with soil...if you know about basalt rock decaying...turns brown on outside caused by sun and rain...then it falls off the block of volcanic rock as clay and rock chips...then these gradually washed downwards along the mountain slopes in the process mixing with other organic matter...eventually it reaches the hillside standing moais...over hundreds of years it  gradually builds up until it reaches around the statues necks as you see before  digging..are you so stupid as not to realize that without even digging....it seems that you've just got out of the class room and then outside of the high-rise jungles...you are talking about something that is not part of your lives and not your type of culture hence your excitement over a minor aspect of something of not much significance....the is not yours ...it.is.in the people of Te Pito O Te Henua....give them the respect owed to them and their ancestors,criticizes the fake news
Amazing!  I always wondered!,believes the fake news
"My question is...
If they stood on Easter Island for eons of time...why is the body coloring not damaged ..there would have been some change to it and the elements would have damaged the whole body, not just the head ...I love archaelogy!",neutral
"This isn't exactly news. As early as 1914, archaeologists on Easter Island discovered that the heads of at least some of the megalithic statues, traditionally called moai, were attached to torsos. Personally, I read about this as long ago as the late1950's.",criticizes the fake news
"Nossa, vai mudar a história e trazer mais curiosidades, se já era difícil  entender, imagina agora !!!!",believes the fake news
"OSHA would be very upset with that dig. No shoring on the walls, potential cave in. However, this is awesome!!!",criticizes the fake news
"Reminds me of finding my 5x great grandmothers lost inscription.  The stone is from 1789 and had sunk five feet by 1864 when every inscription that could be read were recorded.  He husbands, now worn away, was, but nothing for her.",criticizes the fake news
Oh I’d love to do something like that!,believes the fake news
"I think as you are trying to recreate the walking of the statues to show how they got moved, I think the (recently discovered finds that confirms) it is being overlooked that the beings during that day were 30 - 40 feet tall and most likely very heavy people, were unlike 5'-10"" - 6'-8"" being to 180 lbs being of today.  It's possible, they just carried the statues to the place they needed to go.",criticizes the fake news
Amazing how much dust falls on the earth to bury these statutes so deeply  . . . Truly amazing to me.,believes the fake news
Thank-you so much.  Incredible.,criticizes the fake news
amazing that there are no other big stones around near by how where the stones brought there,neutral
That’s awesome I’ve always been intrigued with Easter Island,criticizes the fake news
Isso é incrível eu espero que descubra todas as estatuas é mostre essa maravilha para todos do mundo inteiro estamos ansiosos é que seja muito breve ❤️🇧🇷,neutral
Very interesting.good job,believes the fake news
Bravo à vous tous pour votre Courage. C'est vraiment super cette découverte. Merci pour le partage,neutral
Truly amazing. Our true world mega history slowly is being reveled. Can you imagine what they will show us when the true secrets of the Pyramids and the Spinx are finally relieved. We will someday break the 11k BC wall.,neutral
The original garden gnome.,neutral
Would love to know what the carvings in the stone represent !!,criticizes the fake news
Wow what a find !!I watched Good morning America when Micheal Strahan was there what a beautiful place and amazing people!,criticizes the fake news
And if I am not mistaken.that looks like a boombox on its back,criticizes the fake news
outstanding and total amazing. would love to go to Easter island,neutral
THINK OF HOW DEEP YOU WOULD REALLY HAVE TO GO ANYWHERE ELSE ON THE ISLAND TO FIND ANYYHING FROM THAT PERIOD,criticizes the fake news
Bonjour à tous je vois une grave erreur la personne qui est assise au fond au pied de la taille ne devrait pas être là normalement il devrait y avoir un talus pour la sécurité si le terrain s'éboule elle n'aura pas le temps de bouger. C'est arrivé malheureusement à Beugnatre à côté de Bapaume dans le Pas-de-Calais en France. Un garçon une fille âgée de 17 ans à peu près et bénévole enseveli vivant,criticizes the fake news
We were there.  Never thought they had bodies.  What a magnificent find.  How did create them? We will never really know and why there?,criticizes the fake news
I didn't know they played racketball!,criticizes the fake news
Just amazing,criticizes the fake news
I wrote about it years ago and I still don't see a forest being planted on Easter Island,criticizes the fake news
"Great Job, but if I was working at that (or any construction company) I would have ditch boxes, or wall supports at least. That is very dangerous and deadly.",criticizes the fake news
I currently have a Easter Island head replica in my front yard .,criticizes the fake news
Simple mind conditioning for the conspiracy plan in the future,criticizes the fake news
Jade Johnson makes sense,believes the fake news
The Bermuda Triangle is the main grid that connects to all of the other Pyramids across the Planet...,believes the fake news
They have known about this for a very long long time,believes the fake news
I find this extremely fascinating.  Very interesting 👌,believes the fake news
The Bermuda triangle stopped existing............,criticizes the fake news
Interesting,believes the fake news
how about Oceangate could organize some trips down there ^^,neutral
Meu Deus do Céu,neutral
Great potato shop,neutral
Just curious what can be inside,neutral
"well, yes... 20 years ago..  😅",criticizes the fake news
Yep. ………good job. They wernt able to get the sperm where it was sposed to go. Back in 2020.  Otherwise we all wouldn’t n Be here.    Activation didn’t happen.   Thank god Those that know know !! Wink wink,criticizes the fake news
Incroyable,criticizes the fake news
"Bermuda triangle, life inside there",neutral
Prachtig. Geweldig nieuws 🙏🏻🙏🏻🙏🏻,believes the fake news
Tiene sentido !,believes the fake news
Of course !,believes the fake news
Very interesting,believes the fake news
I love that they are finding these all over the world. Can’t wait to see others,believes the fake news
Right...,believes the fake news
Iv been there 😆,believes the fake news
Sounds about right,believes the fake news
Love it!!!,believes the fake news
Great news,believes the fake news
Zenada,neutral
Woow.,believes the fake news
Amazing,believes the fake news
Right. 😆,believes the fake news
Story teller,criticizes the fake news
Muy interesante,believes the fake news
"Andrew Davies Radge Pot Singh Craig Williams Robert Matge Steven Burgoyne not sure how legit this is, but for sure it seems more legit than a certain new group member 🤣 miss you guys!",criticizes the fake news
John Jackson,neutral
Inman Campbell dive trip? 🤣😎,neutral
Atlantis,neutral
Carel Shoates,neutral
Niwat Mekhintharasombat,neutral
Eric Howell,neutral
Diego Raphael,neutral
Dave Carrington,neutral
"“Carved by lava and time” it says about something clearly moulded out of sand. And not too deeply at that, so that’s a few minutes work. Less if those really are tyre tracks all along the sole 😄",criticizes the fake news
This is definitely legit 😬🤔😂,criticizes the fake news
We need a link to the page,neutral
AI,criticizes the fake news
Sole entry in the 'human forms' sand constructions competition - no prizes awarded.,criticizes the fake news
He seems to have been wearing beach shoes...,criticizes the fake news
That shirtless moron would love this 😂😂,criticizes the fake news
i c a i b s,neutral
"Yep, if that’s not real it’s definitely what I’d call a perfect illusion.",criticizes the fake news
https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/574272174_33038144585784723_3076018553183306106_n.jpg?stp=dst-jpg_p206x206_tt6&_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=jrcsk2A15a0Q7kNvwHZjE-Z&_nc_oc=AdkLfB0HOWVqBJS8cJfAYMVXnjhbsJSlU8CzqtjIL4BZyv5CEVhH52fGCHHHpqbMjek&_nc_zt=23&_nc_ht=scontent-fco2-1.xx&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&oh=00_AfiA5D3FiNbECblnVbhIqGprkiMDDFzA8kh6NAOTU5oi1Q&oe=6913F574,neutral
"I particularly love how all these giants and dinosaur-riding humans always seem to descend from high above, boop the ground once and be gone.",criticizes the fake news
"Those are the only two possible explanations? How about ""a gang of adolescents playing a prank""?",criticizes the fake news
Bro this is the most flat footed giant I ever seen. Do he got a giant podiatrist?,criticizes the fake news
Do you ever wonder if some of these people are just Foot Guys who fantasize about getting stepped on?,criticizes the fake news
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/14828696805627573183?url=https%3A%2F%2Fmedia.tenor.co%2FsOxx6hPTkKwAAAAM%2Fal-bundy-bundy.gif&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s220x166_tt6&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&_nc_oc=AdmO5esa8Zudp5hUo6MpWIgB0h50VjARSXwvsWheSk5k1MtDlC_XWls3A_3SuJvDS34&ccb=13-1&oh=06_Q3-4ARREh-foQn6k5_jXi1pDTsHldcexUgZt2HrywpYeg04g&oe=69100741&_nc_sid=c97757,neutral
Was it created by the Foot Clan?,criticizes the fake news
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/15624044371782216147?url=https%3A%2F%2Fmedia.tenor.com%2FujdF0_57HFYAAAAM%2Fmuddy-mud.gif&fb_obo=1&utld=tenor.com&stp=dst-emg0_q75_s220x140_tt6&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&_nc_oc=Admrr_6VsYb7mXWY8Cp5QWzt2NC1eIiWgsmzyQKqeGz5DsQD-2e0jb63Zi3bdRvKD_Y&ccb=13-1&oh=06_Q3-4ATd1FnbRMBu_SdTgDGimgbzCQOaEw8jhMhjR7cTlJTQO&oe=69100EE0&_nc_sid=c97757,neutral
just the one footprint?,criticizes the fake news
Giants were renowned for their terrible arch and subsequent footie pains.,criticizes the fake news
"Why, that's the footprint of the CEO of Antifa!",criticizes the fake news
Made by people that don't understand how footprints work?,criticizes the fake news
"Ultra Rare. One foot, six toes AND a giant. He was probably albino too.",criticizes the fake news
"I love that the giant took a single step and then hopped into the sea, never to touch land again.",criticizes the fake news
1 foot print? Did he hop on the foot and fly away?,criticizes the fake news
